id,Nazwa produktu,wartosc energetyczna kcal,woda g,bialko ogolem g,bialko zwierzece g,bialko roslinne g,tluszcz g,weglowodany g ,sod mg,potas mg,wapn mg,fosfor mg,magnez mg,zelazo mg,cynk mg,miedz mg,mangan mg
1,"Mleko spozywcze 3,5 % tluszczu",64,87.7,3.3,3.3,0,3.5,4.8,44,138,118,85,12,0.1,0.32,0.02,0.02
2,"Mleko spozywcze 3,2% tluszczu",61,88,3.3,3.3,0,3.2,4.8,44,139,118,85,12,0.1,0.32,0.02,0.02
3,Mleko spozywcze 2% tluszczu,51,89,3.4,3.4,0,2,4.9,45,141,120,86,12,0.1,0.32,0.02,0.02
4,"Mleko spozywcze 1,5 % tluszczu",47,89.4,3.4,3.4,0,1.5,5,45,141,120,97,12,0.1,0.37,0.01,0.02
5,"Mleko spozywcze 0,5 % tluszczu",39,90.3,3.5,3.5,0,0.5,5.1,45,141,121,97,12,0.1,0.4,0.01,0.01
6,Mleko kobiece,72,87.2,1.3,1.3,0,4.3,7,20,52,20,13,4,0.1,0.11,0.03,0.01
7,Mleko kozie,68,87.3,3.2,3.2,0,4.1,4.5,40,161,130,127,14,0.1,0.58,0.04,0.02
8,Mleko owcze,107,80.9,6,6,0,7,5.1,44,136,193,158,18,0.1,0.2,0.1,0.02
9,Mleko w proszku odtluszczone,360,4,35.7,35.7,0,0.8,51.2,480,1874,1404,1012,143,1.2,4.15,0.24,0.2
10,Mleko w proszku pelne,479,4,27,27,0,24,38.7,357,1393,1062,765,108,0.9,3.09,0.18,0.2
11,Mleko zageszczone nieslodzone,131,75,6.6,6.6,0,7.5,9.4,120,304,258,202,26,0.2,0.7,0.04,0.02
12,Mleko zageszczone slodzone,326,27.5,7.5,7.5,0,8,55.3,110,348,295,212,30,0.2,0.8,0.05,0.02
13,"Mleko UHT 3,2% tluszczu",61,88,3.3,3.3,0,3.2,4.8,41,139,113,81,12,0.1,0.32,0.02,0.02
14,"Mleko UHT 1,5% tluszczu",47,89.4,3.4,3.4,0,1.5,5,42,141,110,92,12,0.1,0.37,0.01,0.02
15,"Mleko UHT 0,5% tluszczu",39,90.3,3.5,3.5,0,0.5,5.1,42,141,111,91,12,0.1,0.4,0.01,0.01
16,smietanka kremowa 30% tluszczu,287,64.2,2.2,2.2,0,30,3.1,32,101,86,62,9,0.1,0.23,0.01,0
17,smietana 18% tluszczu,184,75.3,2.5,2.5,0,18,3.6,37,116,99,71,10,0.1,0.27,0.02,0
18,smietana 12% tluszczu,133,80.8,2.7,2.7,0,12,3.9,40,125,106,76,11,0.1,0.29,0.02,0
19,smietanka do kawy 9% tluszczu,107,83.6,2.8,2.8,0,9,4,41,128,109,79,11,0.1,0.3,0.02,0
20,Jogurt naturalny 2% tluszczu,60,86.5,4.3,4.3,0,2,6.2,63,200,170,122,17,0.1,0.46,0.03,0
21,"Jogurt bananowy 1,5% tluszczu",70,83.5,3.7,3.6,0.1,1.5,10.4,48,215,132,97,18,0.2,0.39,0.04,0.08
22,"Jogurt jagodowy 1,5% tluszczu",62,85.2,3.7,3.6,0.1,1.5,8.8,48,170,134,96,14,0.2,0.42,0.04,0.13
23,"Jogurt morelowy 1,5% tluszczu",63,85,3.7,3.6,0.1,1.5,8.9,47,200,133,96,14,0.2,0.38,0.04,0.05
24,"Jogurt truskawkowy 1,5% tluszczu",60,85.7,3.7,3.6,0.1,1.5,8.2,47,179,134,97,15,0.2,0.37,0.04,0.05
25,"Jogurt wisniowy 1,5% tluszczu",61,85.8,3.7,3.6,0.1,1.5,8.2,49,182,134,98,15,0.2,0.38,0.04,0.03
26,Kefir 2% tluszczu,51,89.3,3.4,3.4,0,2,4.7,38,122,103,74,10,0.1,0.28,0.02,0
27,"Maslanka spozywcza 0,5 % tluszczu",37,90.7,3.4,3.4,0,0.5,4.7,60,150,110,80,13,0.1,0.5,0.01,0
28,Napoj mleczny jogurtowy,82,81.1,4,4,0,1.9,12.1,59,186,158,113,16,0.1,0.43,0.03,0
29,Napoj mleczny kakaowy,81,81.8,3.3,3.1,0.2,2.1,12.1,41,153,111,87,16,0.2,0.38,0.07,0.05
30,Napoj mleczny serwatkowo-smietankowy,74,84,0.9,0.9,0,2.2,12.4,40,116,66,40,2,0.1,0.07,0,0.01
31,Napoj mleczny smietankowy,63,84.4,3.5,3.5,0,0.5,10.9,61,158,116,84,14,0.1,0.51,0.01,0
32,Serwatka plynna,25,93.4,0.8,0.8,0,0.1,5.1,45,129,68,40,1,0.1,0.05,0,0.01
33,"Ser, Brie pelnotlusty",329,49.3,19.8,19.8,0,28,0.2,880,100,600,380,20,0.2,2.28,0.04,0.04
34,"Ser, Camembert pelnotlusty",291,52.1,21.4,21.4,0,23,0.2,966,101,386,310,22,0.5,2.84,0.07,0.04
35,"Ser, Cheddar pelnotlusty",391,37.7,27.1,27.1,0,31.7,0.1,598,81,703,487,54,0.5,4.05,0.04,0.02
36,"Ser, Edamski tlusty",313,46,26.1,26.1,0,23.4,0.1,618,81,867,523,27,0.6,2.2,0.03,0.02
37,"Ser, Ementaler pelnotlusty",380,36.9,28.8,28.8,0,29.7,0.1,909,119,835,416,39,0.5,4.4,0.04,0.02
38,"Ser, Gouda tlusty",316,44.9,27.9,27.9,0,22.9,0.1,898,83,807,516,31,0.7,4.18,0.07,0.03
39,"Ser, Mysliwski pelnotlusty",346,43,25.5,25.5,0,27.4,0.1,674,82,792,494,27,0.4,3.59,0.06,0.04
40,"Ser, Mysliwski tlusty",338,41.4,29,29,0,24.9,0.1,768,93,903,563,31,0.5,3.69,0.06,0.04
41,"Ser, Parmezan",452,19.4,41.5,41.5,0,32,0.1,1860,107,1380,810,51,1,3.2,0.2,0.04
42,"Ser, Rokpol pelnotlusty",363,41.3,22.6,22.6,0,30.6,0.1,1368,109,530,322,20,0.5,2.54,0.05,0.02
43,"Ser, Salami pelnotlusty",351,43,25.2,25.2,0,28.1,0.1,585,89,817,501,27,0.4,3.59,0.06,0.04
44,"Ser, Trapistow pelnotlusty",367,41,23.5,23.5,0,30.7,0.1,722,86,943,578,33,0.5,3.46,0.03,0.05
45,"Ser, Trapistow tlusty",351,40.6,28,28,0,26.8,0.1,780,93,972,596,34,0.5,3.74,0.03,0.05
46,"Ser, Tylzycki pelnotlusty",353,41.5,26.1,26.1,0,27.9,0.1,744,84,815,510,28,0.7,3.68,0.03,0.05
47,"Ser, Tylzycki tlusty",334,42.5,27.8,27.8,0,25,0.1,861,108,583,550,28,0.7,3.91,0.03,0.03
48,Deser twarogowy termizowany kakaowy,156,68,13.9,13.7,0.2,6.2,11.2,35,108,77,175,11,0.2,0.75,0.05,0.04
49,Deser twarogowy termizowany truskawkowy,170,64.4,11,10.9,0.1,5.8,18.3,29,86,66,138,7,0.2,0.63,0.02,0.02
50,Ser twarogowy chudy,99,75.3,19.8,19.8,0,0.5,3.5,41,96,96,240,9,0.2,1.12,0.02,0.02
51,Ser twarogowy poltlusty,133,72.1,18.7,18.7,0,4.7,3.7,44,113,94,227,9,0.2,0.92,0.02,0.02
52,Ser twarogowy tlusty,175,67.9,17.7,17.7,0,10.1,3.5,40,104,88,216,9,0.2,0.95,0.03,0.02
53,Ser typu Feta,215,60.8,17,17,0,16,1,1100,62,500,360,19,0.3,2,0.08,0.04
54,Serek termizowany pieczarkowy,113,74.9,15.9,15.5,0.4,4,3.5,387,136,80,213,12,0.3,0.83,0.08,0.03
55,Serek twarogowy homogenizowany  pelnotlusty,161,72.6,12.7,12.7,0,11,3,47,117,98,140,9,0.2,0.45,0.02,0.01
56,Serek twarogowy homogenizowany truskawkowy,168,62.4,15.3,15.2,0.1,3.9,17.7,36,99,79,186,8,0.2,0.8,0.02,0.02
57,Serek twarogowy homogenizowany waniliowy,159,65,16.8,16.8,0,4.2,13.3,40,102,85,204,8,0.2,0.83,0.02,0.02
58,Serek twarogowy ziarnisty,101,79.2,12.3,12.3,0,4.3,3.3,380,80,80,140,8,0.1,0.5,0.02,0.01
59,Serek typu Fromage naturalny,379,48.8,10.2,10.2,0,37.1,2.4,396,66,55,123,8,0.2,0.51,0.02,0.01
60,Serek typu Fromage z czosnkiem,367,49.3,10,9.7,0.3,35.2,4,379,83,54,125,9,0.2,0.54,0.03,0.04
61,Deser ryzowy jablkowy,134,69.7,2.8,2.3,0.5,3,23.9,54,124,86,83,8,0.1,0.47,0.02,0.05
62,Deser ryzowy waniliowy,133,69.8,3,2.5,0.5,2.9,23.5,52,120,84,79,7,0.1,0.43,0.02,0.05
63,"Ser topiony, edamski",298,55,13.5,13.5,0,27,1.2,841,41,367,578,16,0.6,2.01,0.02,0.05
64,Lody mleczno-owocowe,116,73.2,3.9,3.8,0.1,2.5,19.4,57,192,155,113,17,0.2,0.42,0.04,0.01
65,Lody smietankowe,160,70,3.2,3.2,0,8.5,17.6,47,148,125,90,13,0.1,0.34,0.02,0
66,Jaja kurze cale,139,76.2,12.5,12.5,0,9.7,0.6,141,133,47,204,12,2.2,1.76,0.06,0.03
67,Bialko jaja kurzego,49,87.4,10.9,10.9,0,0.2,0.7,200,154,6,17,11,0.2,0.3,0.03,0.01
68,zoltko jaja kurzego,314,54.5,15.5,15.5,0,28.2,0.3,52,127,147,587,15,7.2,3.55,0.14,0.05
69,Proszek jajeczny,576,3.5,48.4,48.4,0,41.7,2.7,481,527,185,790,45,8.3,6.86,0.21,0.1
70,"Baranina, lopatka",284,58.6,15.6,15.6,0,25,0,66,249,9,155,23,2.3,2.97,0.1,0.02
71,"Baranina, udziec",232,63.1,18,18,0,18,0,78,380,10,213,23,2.7,3.2,0.06,0.04
72,"Cielecina, lopatka",106,76.2,19.9,19.9,0,2.8,0,87,395,11,199,15,2.9,2.06,0.25,0.03
73,"Cielecina, sznyclowka",105,75.9,20.5,20.5,0,2.4,0,68,320,12,198,20,1.7,3.2,0.25,0.03
74,"Cielecina, udziec",108,75.9,19.9,19.9,0,3.1,0,128,246,10,160,16,2.4,2.05,0.2,0.03
75,"Konina, mieso bez kosci",109,74.9,21.5,21.5,0,2.5,0,46,345,15,200,24,3.5,2.7,0.14,0.01
76,"Konina, mieso z koscia",109,74.9,21.5,21.5,0,2.5,0,46,345,15,200,24,3.5,2.7,0.14,0.01
77,Wieprzowina klasa I,133,73.7,18.9,18.9,0,6.3,0,57,323,5,216,26,1.4,2.41,0.08,0.03
78,Wieprzowina klasa II,248,61.6,17.5,17.5,0,20,0,74,297,8,172,21,1.5,2.35,0.09,0.03
79,Wieprzowina klasa III,196,67.3,18.3,18.3,0,13.7,0,72,347,8,182,21,1.8,2.93,0.09,0.03
80,Wieprzowina klasa IV,341,53.1,13.7,13.7,0,32.3,0,78,260,36,156,16,3,2.48,0.07,0.03
81,"Wieprzowina, boczek bez kosci",510,36.5,10.1,10.1,0,53,0,78,163,4,95,10,0.7,1.45,0.05,0.01
82,"Wieprzowina, golonka ze skora",294,55.9,18.6,18.6,0,24.7,0,73,213,19,145,17,1.1,2.31,0.05,0.01
83,"Wieprzowina, karkowka",267,60.3,16.1,16.1,0,22.8,0,63,283,18,166,17,1.3,3.11,0.08,0.05
84,"Wieprzowina, lopatka",257,61.4,16,16,0,21.7,0,52,275,5,159,19,1.1,3.14,0.04,0.02
85,"Wieprzowina, podgardle",630,24.5,7.4,7.4,0,67.8,0,38,87,7,49,5,0.7,0.4,0.1,0.02
86,"Wieprzowina, schab surowy z koscia",174,68,21,21,0,10,0,42,343,15,208,24,1,1.93,0.06,0.04
87,"Wieprzowina, szynka surowa",261,59.8,18,18,0,21.3,0,62,289,5,179,21,0.9,1.88,0.02,0.01
88,"Wieprzowina, zeberka",321,54.7,15.2,15.2,0,29.3,0,63,252,28,157,17,1.3,2.86,0.06,0.05
89,Wolowina klasa I niesciegnista,107,75.1,21.7,21.7,0,2.1,0,57,354,4,214,27,2.2,2.45,0.08,0.03
90,Wolowina klasa I sciegnista,154,70.3,20.8,20.8,0,7.9,0,70,337,6,176,22,2.2,2.93,0.06,0.03
91,Wolowina klasa II,147,71.2,20.6,20.6,0,7.2,0,78,316,6,167,22,2.2,3.5,0.08,0.04
92,Wolowina klasa III,223,62.5,20.9,20.9,0,15.6,0,81,209,8,175,21,2.3,1.83,0.05,0.01
93,Wolowina klasa IV,405,45.9,14.1,14.1,0,39.3,0,127,120,15,113,13,2.7,1.03,0.07,0.01
94,Wolowina klasa V,365,47.3,20.1,20.1,0,32,0,124,117,16,67,6,1.5,1,0.07,0.01
95,"Wolowina, pieczen",117,74.5,20.9,20.9,0,3.6,0,78,375,3,204,25,2.3,3.76,0.08,0.04
96,"Wolowina, poledwica",113,75.4,20.1,20.1,0,3.5,0,52,382,4,212,26,3.1,2.93,0.1,0.04
97,"Wolowina, rostbef",152,70.2,21.5,21.5,0,7.3,0,64,350,9,191,23,2.4,2.78,0.06,0.01
98,"Wolowina, rozbratel",157,72.3,16.7,16.7,0,10.1,0,34,313,14,180,21,2.8,2.78,0.08,0.02
99,"Wolowina, szponder",217,64,19.3,19.3,0,15.7,0,63,266,27,169,19,2.1,3.97,0.03,0.01
100,Flaki,84,81.5,16,16,0,2.2,0,64,137,71,61,11,0.6,2.75,0.08,0.02
101,"Kosci, wywar",5,98.1,1.2,1.2,0,0,0,28,15,2,4,1,0.1,0.04,0,0.01
102,Krew wieprzowa,73,81,16.6,16.6,0,0.4,0.4,205,205,7,61,5,39.5,0.33,0.14,0.01
103,Mozg wieprzowy,139,76.9,11.1,11.1,0,10.6,0,160,326,10,340,20,3.8,1.04,0.3,0.03
104,Nerki wieprzowe,102,78.1,16.8,16.8,0,3.8,0,205,313,11,246,18,8,3,0.89,0.06
105,Nogi wieprzowe,274,55.8,23,23,0,20.4,0,157,127,24,106,12,2.1,2.66,0.35,0.05
106,Ozor wieprzowy,165,71.4,16.5,16.5,0,11.1,0,108,255,11,188,18,4.5,2.6,0.23,0.03
107,Serca wieprzowe,111,77.2,16.9,16.9,0,4.8,0,89,335,35,132,22,2.7,2.2,0.37,0.02
108,Watroba wieprzowa,130,70.6,22,22,0,3.4,2.6,83,311,10,362,23,18.7,4.51,0.63,0.23
109,Watroba wolowa,125,71.5,20,20,0,3.1,4,117,294,7,358,21,9.4,4.11,0.62,0.25
110,Watroba cieleca,125,71.2,19.2,19.2,0,3.3,4.1,87,316,19,306,20,7.9,8.4,5.5,0.28
111,"Ges, tuszka",339,53.3,14.1,14.1,0,31.8,0,48,243,5,152,18,2.4,1.66,0.17,0.02
112,"Indyk, tuszka",129,75.3,17,17,0,6.8,0,63,300,6,226,27,0.6,2,0.04,0.04
113,Mieso z piersi indyka bez skory,84,78.7,19.2,19.2,0,0.7,0,47,460,2,238,35,0.5,0.83,0.04,0.01
114,Mieso z piersi indyka ze skora,100,77.3,18.7,18.7,0,2.7,0,48,441,2,229,33,0.5,0.82,0.04,0.01
115,Mieso z podudzia indyka bez skory,100,78.6,16.6,16.6,0,3.7,0,96,364,8,214,27,1.2,2.83,0.08,0.02
116,Mieso z podudzia indyka ze skora,142,74.4,15.7,15.7,0,8.9,0,92,324,8,194,24,1.1,2.53,0.08,0.02
117,Mieso ze skrzydel indyka bez skory,115,76.3,18,18,0,4.7,0,62,359,5,207,27,1.2,2.27,0.04,0.01
118,Mieso ze skrzydel indyka ze skora,168,71.2,16.5,16.5,0,11.4,0,63,308,6,182,23,1.1,1.98,0.04,0.01
119,Mieso z udzca indyka bez skory,104,76.7,19.4,19.4,0,2.8,0,77,414,4,227,28,0.8,2.64,0.08,0.01
120,Mieso z udzca indyka ze skora,131,74.2,18.4,18.4,0,6.4,0,76,384,5,213,26,0.8,2.46,0.07,0.01
121,Skora z indyka,413,47.9,9.4,9.4,0,42.4,0,64,80,9,65,6,0.8,0.65,0.03,0.01
122,Skrzydlo indyka,168,71.2,16.5,16.5,0,11.4,0,63,308,6,182,23,1.1,1.98,0.04,0.01
123,"Kaczka, tuszka",308,57.2,13.5,13.5,0,28.6,0,66,242,8,149,14,2.1,1.42,0.14,0.03
124,"Kura, tuszka",202,66.4,18.5,18.5,0,14.3,0,66,307,11,162,19,1.6,1.39,0.06,0.03
125,"Kurczak, tuszka",158,71.2,18.6,18.6,0,9.3,0,61,305,10,187,20,1.2,1.35,0.05,0.04
126,Mieso z piersi kurczaka bez skory,99,76.3,21.5,21.5,0,1.3,0,55,385,5,240,33,0.4,0.49,0.01,0.01
127,Mieso z ud kurczaka bez skory,125,75.2,17.8,17.8,0,6,0,91,334,8,215,26,0.7,1.4,0.08,0.01
128,Mieso z ud kurczaka ze skora,158,72,16.8,16.8,0,10.2,0,85,300,9,196,23,0.7,1.28,0.08,0.01
129,Noga (udo) kurczaka,158,72,16.8,16.8,0,10.2,0,85,300,9,196,23,0.7,1.28,0.08,0.01
130,Skorki kurze,379,51.1,10.7,10.7,0,37.9,0,46,76,17,78,7,1,0.52,0.04,0.03
131,Skrzydlo kurczaka,186,67.1,19.2,19.2,0,12.2,0,73,156,14,139,18,1.4,1.3,0.04,0.01
132,Watrobka  kurczaka,136,72.8,19.1,19.1,0,6.3,0.6,85,300,8,320,21,9.5,3.63,0.3,0.26
133,zoladek kurczaka,114,76.2,18.2,18.2,0,4.2,0.6,69,188,8,135,13,3.5,3,0.1,0.07
134,"Krolik, tuszka",156,69.8,21,21,0,8,0,43,385,19,183,26,2.6,2.19,0.15,0.04
135,Baleron gotowany,244,63.1,15.1,14.3,0.8,20.2,0.9,749,312,17,176,16,1.3,2.77,0.09,0.06
136,Kabanosy,326,46.8,27.4,27.4,0,24.3,0,1327,467,11,284,34,2.3,3.63,0.13,0.05
137,Kielbasa domowa,320,54.8,14.7,14.6,0.1,29.2,0.5,826,243,7,139,17,1.4,2.09,0.07,0.04
138,Kielbasa krakowska sucha,323,48.2,25.6,25.6,0,24.8,0,1273,429,8,275,33,2.1,3.38,0.11,0.04
139,Kielbasa lubuska,249,58.8,17.5,15.6,1.9,18,4.8,1465,401,13,217,22,1.7,2.16,0.13,0.08
140,Kielbasa mortadela,205,69.6,12,12,0,17.7,0,698,169,13,105,12,1.2,1.74,0.05,0.02
141,Kielbasa mysliwska sucha,291,50.7,27.8,27.8,0,20.1,0,1291,463,10,269,33,2.5,3.85,0.12,0.05
142,Kielbasa parowkowa,323,56.7,11,11,0,31.5,0,839,134,15,90,9,1.2,1.4,0.05,0.02
143,Kielbasa podwawelska,247,61.3,17.3,17.1,0.2,19.6,0.9,1017,303,10,172,22,1.5,2.32,0.1,0.06
144,Kielbasa rzeszowska,203,64.6,20.9,20.9,0,13.4,0,976,356,7,217,26,1.8,2.87,0.1,0.04
145,Kielbasa slaska,210,65.4,18.4,18.4,0,15.3,0,885,323,7,189,23,1.6,2.56,0.09,0.03
146,Kielbasa torunska,263,57.9,20.9,20.9,0,20.1,0,1007,347,9,197,24,1.9,2.98,0.1,0.04
147,Kielbasa zwyczajna,209,65.9,17.6,17.6,0,15.6,0,848,258,13,161,19,1.6,2.47,0.08,0.03
148,Kielbasa zywiecka,315,52.4,20.3,20.3,0,26.3,0,1031,328,7,189,23,1.9,2.9,0.08,0.03
149,Kielbaski bawarskie,308,55.9,15.5,15.4,0.1,27.7,0.1,853,264,12,150,20,1.6,2.16,0.08,0.08
150,Mielonka (Luncheon meat),171,71.2,12.8,11.5,1.3,11.7,3.7,1065,296,9,158,15,1.3,1.68,0.09,0.05
151,Paroweczki sniadaniowe             (z olejem),234,66.6,11.9,10.5,1.4,20.9,0.1,650,193,8,102,13,1.3,1.64,0.09,0.06
152,Parowki popularne,342,55.4,9.5,9.5,0,34.3,0,889,120,5,67,8,1.1,1.11,0.05,0.03
153,Poledwica luksusowa,177,67.2,19.5,19.4,0.1,10,2.4,1555,325,14,195,23,1.1,1.97,0.06,0.04
154,Poledwica sopocka,165,69.2,19.9,19,0.9,9.1,0.9,748,374,15,218,23,1.1,1.77,0.07,0.05
155,Salami luksusowe,540,25.5,21.9,21.8,0.1,50.6,0.9,1304,349,9,197,26,2.2,3.31,0.1,0.07
156,Salami mini,548,24.7,21.7,21.6,0.1,51.6,0.9,1304,347,9,197,25,2.2,3.22,0.1,0.07
157,Salami popularne,568,22.2,21.6,21.5,0.1,53.7,1.4,1307,348,10,192,25,2.2,3.22,0.1,0.07
158,Szynka kanapkowa,102,79.2,14.2,12.9,1.3,4.4,1.4,1112,317,6,193,19,1.2,1.68,0.09,0.04
159,Szynka wiejska,253,60.8,17.1,17.1,0,20.3,0.9,1026,366,5,195,20,0.9,1.79,0.02,0.01
160,Szynka wieprzowa gotowana,233,63.5,16.4,15.4,1,18.3,1,857,319,6,187,19,1,1.63,0.04,0.02
161,Szynka wolowa gotowana,107,74.9,20.9,19.9,1,2,1.1,914,401,5,232,26,2.2,2.27,0.1,0.04
162,Szynkowka wieprzowa,191,69.6,13.6,12.3,1.3,14.7,1.4,1115,294,6,168,16,0.9,1.32,0.04,0.03
163,Szynkowka wolowa,85,80.1,16.2,14.9,1.3,1.5,1.4,1112,338,5,191,20,1.7,1.71,0.09,0.04
164,Wedzonka wolowa gotowana,102,77.7,17.8,17.8,0,3.1,0.5,992,382,5,189,24,2.8,2.6,0.09,0.05
165,Kiszka kaszana jeczmienna,194,63.4,8.5,7.3,1.2,12.6,13,772,144,13,80,18,7.4,0.78,0.09,0.14
166,Kiszka krwista,404,38.4,14.2,13.2,1,35,9.2,1062,92,23,95,9,16.9,1.32,0.14,0.09
167,Kiszka pasztetowa,384,44.7,12.5,12.1,0.4,35.7,4.3,788,144,18,166,7,6,1.56,0.2,0.11
168,Ozory w galarecie,141,72.5,16.7,15.9,0.8,7.6,1.7,899,232,12,157,16,3.6,1.81,0.18,0.05
169,Pasztet pieczony,391,35,17,14.7,2.3,31.2,13.5,817,373,49,212,33,5,2.39,0.26,0.32
170,Pieczen zulawska,170,70.9,13.8,12.4,1.4,11.7,2.6,773,228,9,119,16,1.5,1.91,0.08,0.07
171,Poledwica w galarecie,101,78.4,14.5,13.7,0.8,4.4,1.4,625,216,10,123,15,0.6,0.89,0.09,0.04
172,Salceson czarny,336,53,12.6,12.1,0.5,32,0.5,803,139,18,82,7,7.5,0.91,0.11,0.05
173,Salceson wloski,318,53.2,14.6,14.6,0,29.3,0,815,143,40,60,8,2.2,1.39,0.06,0.05
174,Watrobianka,231,67.1,10.7,8.6,2.1,20.9,0.7,794,160,27,136,15,5.7,1.64,0.19,0.13
175,Baton szynkowy z indyka,143,72.6,14.9,14.9,0,9.3,0.1,826,304,8,204,30,0.9,1.67,0.06,0.02
176,Kielbasa mazurska z indyka,129,75.2,14.8,14.8,0,7.7,0.1,603,295,5,171,26,1,1.86,0.04,0.01
177,Kielbasa mortadela z indyka,209,67.6,11,10.9,0.1,18.5,0.1,772,192,17,173,23,1.2,1.65,0.06,0.04
178,Kielbasa szynkowa z indyka,88,77.3,17.2,17.1,0.1,2,0.2,900,392,6,211,35,0.7,1.7,0.06,0.04
179,Poledwica z indyka,105,76.6,15.8,15.8,0,4.6,0.1,763,362,3,190,33,0.5,0.82,0.04,0.01
180,Szynka z indyka,84,78.7,17.1,17.1,0,1.6,0.1,612,387,3,206,32,0.6,1.54,0.06,0.01
181,Baton z kurczaka,144,72,16.7,15.2,1.5,8.6,0.1,753,283,43,194,29,1.1,0.76,0.07,0.04
182,Kabanosy z kurczaka,247,56.6,22.8,21.7,1.1,17.4,0.1,885,415,13,259,39,1,1.35,0.12,0.05
183,Kaszanka z kurczaka,204,59.1,9.8,7.3,2.5,11.7,16.4,892,190,23,127,45,6.6,1.09,0.17,0.37
184,Kielbasa delikatesowa z kurczaka,109,74.3,19.6,17.9,1.7,3.3,0.1,779,359,10,222,34,0.7,0.91,0.08,0.04
185,Kielbasa jalowcowa z kurczaka,236,60.6,19,18,1,17.9,0.1,630,342,40,231,32,1.2,1.29,0.1,0.05
186,Kielbasa kanapkowa z kurczaka,179,69.3,11.8,11.4,0.4,13.5,3,720,154,72,133,18,1.6,1.16,0.06,0.04
187,Kielbasa podlaska z kurczaka,232,60.3,20.7,19.6,1.1,16.7,0.1,520,373,35,248,32,1.3,1.6,0.13,0.04
188,Kielbasa podsuszana z kurczaka,163,66.4,21.7,21.7,0,8.4,0,1039,375,39,256,38,1.2,1.42,0.08,0.02
189,Kielbasa szynkowa z kurczaka,110,76.3,16.2,14.7,1.5,5,0,725,302,10,191,28,0.8,1.2,0.1,0.04
190,Kurczak faszerowany (pieczony),200,60.9,20.5,20.1,0.4,11.9,2.8,1208,343,15,214,33,1.4,1.44,0.08,0.07
191,Parowki z kurczaka,259,60.8,10.8,10.5,0.3,22.4,4.2,548,141,45,114,16,1.1,0.68,0.06,0.03
192,Pasta kanapkowa z kurczaka,156,73,10.4,10.4,0,11.3,3.5,461,185,85,146,19,1.1,0.74,0.04,0.02
193,Pasztet z kurczaka pieczony,214,61.6,14.4,12,2.4,14.3,7.5,574,225,94,206,23,3.3,1.61,0.15,0.15
194,Pasztet podlaski z kurczaka,228,66.7,6.7,5.2,1.5,21.1,3.6,610,108,42,91,13,1.5,0.75,0.08,0.08
195,Pieczen z kurczaka z pieczarkami,180,64.2,13.8,11.3,2.5,10.2,9.1,883,251,15,164,27,0.9,0.8,0.11,0.14
196,Pieczen z kurczaka z serem zoltym,205,60.1,16,13.7,2.3,12.1,8.8,960,233,83,194,29,0.9,1.12,0.09,0.13
197,Poledwica z piersi kurczaka,93,75.9,20.4,19.6,0.8,1.2,0,705,366,7,226,36,0.5,0.47,0.03,0.02
